+-----------------------------------+-----------------+-------+
| Hostname                          | IP              | RType |
| durantonetworkbd.com              | 209.133.196.250 |   A   |
| easyitbd.com                      | 179.61.232.55   |   A   |
| ebox.live                         | unresolvable    | error |
| elaach.com                        | 10.200.1.162    |   A   |
| em.dfnbd.net                      | 45.127.244.5    |   A   |
| emby.bossbd.net                   | unresolvable    | error |
| emby.circleftp.net                | unresolvable    | error |
| emby.rangdhanu.live               | unresolvable    | error |
| enjoy.net.bd                      | 68.65.122.51    |   A   |
| epnetbd.com                       | 135.181.53.124  |   A   |
| evonetbd.com                      | 103.25.120.217  |   A   |
| exploreonlinebd.net               | 107.167.88.26   |   A   |
| ezis-amarftp.rf.gd                | 185.27.134.232  |   A   |
| f4cineplex.myftp.org              | unresolvable    | error |
| f4internetsolution.com            | 72.52.179.174   |   A   |
| fastcombd.net                     | unresolvable    | error |
| fastnetbd.org                     | 209.99.16.227   |   A   |
| fastplex.net                      | 113.212.108.226 |   A   |
| fcnetbd.net                       | 103.55.144.140  |   A   |
| fiberx.me                         | 199.188.200.222 |   A   |
| file.khulnaflix.net               | 103.80.70.58    |   A   |
| file.tajpata.com                  | 103.14.129.246  | CNAME |
| fileserver.ebox.live              | 103.49.168.107  |   A   |
| filmguro.site                     | 172.67.198.246  |   A   |
| filmraja.com                      | 103.224.182.246 |   A   |
| flashnetbd.com                    | 198.54.126.54   |   A   |
| flixhub.net                       | unresolvable    | error |
| fmnetworks.net                    | 172.93.204.114  |   A   |
| fmovies.se                        | 185.53.177.74   |   A   |
| fn-bd.com                         | 103.78.160.2    |   A   |
| fnet.com.bd                       | 23.92.74.62     |   A   |
| focusflix.com                     | 10.11.12.2      |   A   |
| free.ebox.live                    | unresolvable    | error |
| freedownloadbd.com                | 172.17.172.242  |   A   |
| freetorrentbd.com                 | 67.227.226.240  |   A   |
| fs.amrbd.com                      | 12.1.1.1        |   A   |
| fs.ats                            | unresolvable    | error |
| fs.ebox.live                      | 43.230.123.18   |   A   |
| fs.evillagectg.com                | unresolvable    | error |
| fs.evonetbd.com                   | 103.25.120.118  |   A   |
| fs.ihub.live                      | unresolvable    | error |
| fs.rangdhanu.live                 | 220.158.207.162 | error |
| fs.satrong.live                   | 103.214.156.1   |   A   |
| fs1.dflix.live                    | 59.153.100.251  |   A   |
| fs1.fasttrackbd.com               | 3.223.115.185   | CNAME |
| fs1.mebd.net                      | 103.56.6.6      |   A   |
| fs2.amrbd.com                     | 12.1.1.2        |   A   |
| fs2.ebox.live                     | unresolvable    | error |
| fti.com.bd                        | 109.203.109.244 |   A   |
| ftp.alphamediazone.com            | 172.28.28.28    | CNAME |
| ftp.com.bd                        | 198.54.120.245  |   A   |
| ftp.ftpbd.net                     | unresolvable    | error |
| ftp.mcnbd.com                     | 103.52.134.52   |   A   |
| ftp.timepassbd.live               | 103.200.36.244  |   A   |
| ftp2.circleftp.net                | 15.1.2.6        |   A   |
| ftp3.circleftp.net                | 15.1.1.15       |   A   |
| ftp4.circleftp.net                | 15.1.1.5        |   A   |
| ftpbd.com                         | 192.185.167.136 |   A   |
| ftpbd.net                         | 103.58.73.8     |   A   |
| ftpweb.mazedanetworks.net         | 103.60.172.23   |   A   |
| fun.mcnbd.com                     | 103.52.134.52   |   A   |
| funtime.com.bd                    | unresolvable    | error |
| funtimebd.com                     | 103.71.40.102   |   A   |
| future.net                        | unresolvable    | error |
| futurenet-bd.com                  | 86.104.15.94    |   A   |
| g9qloe.fou46b                     | unresolvable    | error |
| game.zxonlinebd.com               | 103.19.252.122  |   A   |
| gamingwithplaban.weebly.com       | 199.34.228.53   | CNAME |
| gazipurns.com                     | 64.188.2.194    |   A   |
| gazipurns.webs.com                | 104.17.119.40   |   A   |
| genvideos.com                     | 104.21.76.65    |   A   |
| genvideos.org                     | 104.21.78.158   |   A   |
| ghatailonline.net                 | 45.251.57.89    |   A   |
| gk-network.net                    | 174.142.203.174 |   A   |
| globalcommunicationbd.com         | 198.54.116.204  |   A   |
| glodls.to                         | 104.21.94.130   |   A   |
| gostream.is                       | 172.67.158.77   |   A   |
| gpisp.net                         | 198.54.114.164  |   A   |
| greenbytes.net.bd                 | 162.241.224.230 |   A   |
| greetingsonlinebd.com             | 108.170.11.43   |   A   |
| grid.tmyorspvu1w0                 | unresolvable    | error |
| halum.net                         | 104.21.53.253   |   A   |
| hasikhushi.net                    | 103.200.92.30   |   A   |
| hd.circleftp.net                  | 15.1.1.6        |   A   |
| hdmovie99.co                      | 67.227.226.240  |   A   |
| hdrhee.chg4jd                     | unresolvable    | error |
| hdtv.rangdhanu.live               | 220.158.207.144 |   A   |
| helloitbd.com                     | 199.79.62.17    |   A   |
| hkonline.com.bd                   | 23.29.122.203   |   A   |
| hoichoi24.com                     | 144.91.103.25   |   A   |
| hostxy.com                        | 45.123.41.202   |   A   |
| httpbd.com                        | 10.254.254.18   |   A   |
| ibd.net.bd                        | 113.212.108.226 |   A   |
| ibdplex.net                       | 113.212.108.237 |   A   |
| ibds.net.bd                       | 103.68.116.72   |   A   |
| iboxbd.club                       | 209.141.42.57   |   A   |
| iboxbd.online                     | 103.135.208.2   |   A   |
| icc.com.bd                        | 43.250.83.250   |   A   |
| icc.crictime.is                   | 188.166.203.57  |   A   |
| icc.moviemela.live                | 10.16.100.244   |   A   |
| ifra.network                      | 178.238.236.198 |   A   |
| ihub.live                         | 172.67.172.30   |   A   |
| imap.ftpbd.net                    | 208.91.199.246  | CNAME |
| imonlineisp.net                   | 198.54.116.245  |   A   |
| index.circleftp.net               | 15.1.2.10       | error |
| index.ftpbd.net                   | 103.58.73.6     |   A   |
| inetisp.net                       | 158.69.159.112  |   A   |
| infointernetservice.com           | 198.187.31.236  |   A   |
| infolinkbd.com                    | 103.19.130.217  |   A   |
| inoxbd.com                        | 174.142.203.174 |   A   |
| internetzonebd.com                | 185.151.30.171  |   A   |
| iptv.aliflailabd.com              | unresolvable    | error |
| ismart.net.bd                     | 109.203.102.152 |   A   |
| istiak-tushar42.github.io         | 185.199.108.153 |   A   |
| itbasebd.net                      | unresolvable    | error |
| itnetzone.com                     | 198.187.29.128  |   A   |
